"city_1", "美国 圣路易斯", "较小、更易于管理的城市的交通便利性却没有足够的旅行者欣赏。 小城市的特点是：在长周末实际上是“可行的”。机场通常不太拥挤并且更容易导航。街道也是如此。您行程中的酒店、餐厅、博物馆等通常也比那些繁华城市的酒店、餐厅、博物馆等更便宜。"
"city_2", "英国 伦敦", "伦敦是一座庞大的城市，处于一切事物的中心：艺术、历史、文化——凡是你能想到的。但它与其他主要中心的不同之处在于其独特的社区，每个社区都有自己的氛围。与家人一起在肯辛顿度过一个下午：这里有博物馆、公园和许多其他适合孩子的活动。或者前往前卫的肖尔迪奇 (Shoreditch)，寻找炫酷的商店和街头壁画（非常适合拍照），然后前往苏活区 (Soho)，在那里您可以在酒吧喝一杯，或者去俱乐部聚会直至黎明。食物在这里很重要：是的，这里有炸鱼薯条，但由于伦敦蓬勃发展的孟加拉国社区（您可以从布里克巷的众多餐厅中挑选），还有更高级的咖喱屋，再加上越来越多的由名厨主理的餐厅豪华梅菲尔。总是有新的事情发生，我们在下面有更多建议。"
"city_3", "美国 拉斯维加斯", "无论您能想到什么，拉斯维加斯都能满足您：米其林星级餐厅、24 小时开放的婚礼教堂、传奇般的风景、老虎机，应有尽有。但当你以为维加斯已被锁定时，你会大吃一惊。考虑一下 Meow Wolf，这是一种既是主题公园又是艺术画廊的沉浸式体验。或者 Cosmopolitan 的溜冰场（沙漠里的冬天！）。然后就是自然风光——穿过拉斯维加斯大道，您会发现州立公园，并在火焰谷和红岩峡谷等景点欣赏数天的美景。正是这些瑰宝让维加斯成为家庭和非派对人士的目的地。"
"city_4", "美国 纽约市", "最高的摩天大楼、最大的博物馆、最奶酪的披萨。纽约市将一切发挥到极致。很容易理解为什么它是美国访问量最大的地方：无论您是想参观历史地标、观看百老汇表演还是漫步布鲁克林的街道，都没有错误的方法，并且每个地方都有新的发现你走的时间到了。花一天时间逛街，从适合家庭游玩的上西区（遍布游乐场和可爱的餐厅）到坚韧但很酷的下东区，每个地方都有自己的氛围。浏览切尔西的艺术画廊，在苏豪区购物，然后在东村喝一杯。或者，乘坐地铁（或步行穿过布鲁克林大桥）并游览丹波的鹅卵石街道。想要一些自然吗？它也有这个。在中央公园野餐，游览高线公园，或搭乘渡轮从海上欣赏这座城市。这只是一个开始——我们在下面还有更多想法。"
"city_5", "中国香港", "香港是世界上最具活力的城市之一，而世界第三大海湾维多利亚港仍然是其风景如画的心脏。在这次舒适而时尚的夜间游船之旅中，您将躺在躺椅上欣赏这座城市著名的幻彩咏香江激光表演。当您滑过海港时，您可以享用免费的软饮料，欣赏著名的天际线被舞动的光束照亮。这是观赏香港夜间奇观的独特方式。"
"mountains-1", "美國 塞多纳", "发光的红色岩石、清澈的蓝天以及您见过的最令人瞠目结舌的日落。那是塞多纳。这里是户外爱好者的天堂，拥有 200 多条自行车、徒步、跑步和攀岩小径。但它也有精神的一面，部分原因是该地区的“漩涡”（据说具有治疗功效的能量热点）。早上沿着断箭步道 (Broken Arrow Trail) 徒步，然后探索上城区的形而上学商店、精品店和画廊（不要错过特拉克帕克 (Tlaquepaque) 的手工艺品商店）。在塞多纳的水疗中心之一（有很多水疗中心）舒缓肌肉酸痛，那里的治疗通常涉及声音浴或水晶。夜生活很少，因此请跳过最后的呼叫，前往橡树溪村 (Village of Oak Creek) 观赏绝佳的星空（该社区是国际暗夜星空广场）。"
"mountains-rivers_1", "美国 优胜美地国家公园", "优胜美地国家公园位于加利福尼亚州的山区，以其花岗岩悬崖和瀑布而闻名。半圆顶和酋长岩是因摄影师安塞尔·亚当斯 (Ansel Adams) 而闻名的两个地貌。约塞米蒂国家公园是一个全年开放的目的地，由于积雪融化，夏季可以进行高海拔徒步旅行。但夏季也是最拥堵的季节，公园管理员鼓励游客使用免费班车系统以尽量减少交通。提前计划，因为许多标志性的徒步旅行都需要获得许可。"
"mountains-rivers_2", "美国 黄石国家公园", "黄石公园带来了戏剧性的场面——野牛在这里漫步，瀑布飞流直下，山脉巍然耸立。还有地热资源——温泉、间歇泉和沸腾的泥浆锅。最著名的是老忠实间歇泉，这是一座几十年来一直在喷发的间歇泉。黄石公园的范围也很大。虽然它主要位于怀俄明州，但它延伸到蒙大拿州和爱达荷州，并有五个独立的入口。您需要一辆车才能充分游览公园，但其庞大的规模并不意味着您将独自一人。事实上，每年将有超过三百万访客加入您的行列。为人类和野生动物造成的交通堵塞做好准备。幸运的是，公园周围有很多休息的地方，包括 9 个小屋和 2,100 个露营地。请参阅下文了解更多建议，以充分享受您的旅行。"
"mountains-rivers_3" ,"美国 奥兰多" , "度假者涌向奥兰多的原因很容易理解：一流的度假胜地、全年阳光明媚、还有丰富多彩的活动。您可以尽情游览主题公园，在哈利波特的魔法世界和魔法王国之间穿梭，或者在温特帕克度过一天，这是一个风景优美的湖边小镇，拥有可爱的商店和一流的农贸市场。观星者可以游览肯尼迪航天中心，大自然爱好者可以在蓝泉州立公园划皮划艇，美食家可以在该市的米其林星级餐厅（有几家）尽情享受。是的，奥兰多拥有适合家庭入住的代表，但这里也有丰富的夜生活场所，从舞蹈俱乐部到地下酒吧，应有尽有。如需了解更多信息，请查看下面的建议。"
"beaches_1", "美国 圣地亚哥", "海滩（或水上公园）一起度过漫长而慵懒的日子，除了沙滩还有适合儿童的博物馆到令人筋疲力尽的徒步旅行。"
"island_1", "印度尼西亚 巴厘岛", "巴厘岛在一个小岛上囊括了很多东西——从北部的 Sekumpul 等令人惊叹的瀑布到南部 Nyang Nyang 的白色沙滩。无论您在寻找什么，您都可能会找到：巴图博隆的冲浪胜地、水明漾的通宵俱乐部、努沙杜瓦的豪华悬崖酒店以及周围的精神避难所。在天堂之门拍照留念，穿过丛林前往隐秘的卡威古农寺，在乌鲁瓦图寺欣赏日落并欣赏传统的火舞。不要错过市场——在 Sukawati 艺术市场寻找手工艺术品和纺织品，或者在 Sindhu 夜市品尝沙爹和 bakso 等街头小吃。"
"island_2", "阿鲁巴岛", "如果说一座岛屿完全是为了放松而建造的，那么阿鲁巴岛就是一座适合读书的岛屿。这里以柔软的沙滩、碧绿的海水和热带氛围欢迎游客的到来，这是典型的加勒比海体验（也是库拉索岛和博内尔岛的近邻）。当您不在阿鲁巴岛 40 个海滩之一闲逛时，可以去看看充满活力的荷兰加勒比文化。在该岛首府奥拉涅斯塔德的柔和建筑和商店中漫步。参观阿鲁巴国家考古博物馆或储备令人难以置信的当地美食，如海鲜或 keshi Yana（一种奶酪覆盖的砂锅菜）。对于非海滩品种的自然景观，不要错过蝴蝶农场（无需解释）以及阿鲁巴天然桥和孔奇天然泳池，它们都位于阿里科克国家公园。"
